symbole,entrée,sortie,sens,prix_entrée,prix_sortie,brut_bp,coût_bp,net_bp,net_eur,motif_sortie
SPY,2026-07-08T14:50:00+00:00,2026-07-08T15:50:00+00:00,achat,741.29,740.48,-10.9269,0.5,-11.4269,-0.1143,durée
QQQ,2026-07-08T15:00:00+00:00,2026-07-08T15:15:00+00:00,achat,705.26,702.9262,-33.0914,0.7,-33.7914,-0.3379,stop
QQQ,2026-07-08T15:25:00+00:00,2026-07-08T16:25:00+00:00,achat,701.57,706.7766,74.2136,0.7,73.5136,0.7351,durée
SPY,2026-07-08T16:30:00+00:00,2026-07-08T17:15:00+00:00,vente,743.09,744.9381,-24.8706,0.5,-25.3706,-0.2537,stop
QQQ,2026-07-08T16:40:00+00:00,2026-07-08T17:25:00+00:00,vente,707.13,710.6297,-49.4919,0.7,-50.1919,-0.5019,stop
SPY,2026-07-08T17:25:00+00:00,2026-07-08T18:25:00+00:00,vente,745.45,744.67,10.4639,0.5,9.9639,0.0996,durée
QQQ,2026-07-08T19:55:00+00:00,2026-07-08T19:55:00+00:00,vente,711.34,711.28,0.8434,0.7,0.1434,0.0014,clôture
SPY,2026-07-08T19:55:00+00:00,2026-07-08T19:55:00+00:00,vente,745.74,745.29,6.0344,0.5,5.5344,0.0553,clôture
QQQ,2026-07-09T13:35:00+00:00,2026-07-09T14:35:00+00:00,vente,719.08,719.27,-2.6423,0.7,-3.3423,-0.0334,durée
SPY,2026-07-09T13:35:00+00:00,2026-07-09T13:40:00+00:00,vente,747.36,748.3912,-13.798,0.5,-14.298,-0.143,stop
SPY,2026-07-09T13:50:00+00:00,2026-07-09T14:50:00+00:00,vente,748.1,747.97,1.7378,0.5,1.2378,0.0124,durée
SPY,2026-07-09T15:25:00+00:00,2026-07-09T16:25:00+00:00,vente,749.908,750.64,-9.7611,0.5,-10.2611,-0.1026,durée
QQQ,2026-07-09T17:05:00+00:00,2026-07-09T17:10:00+00:00,vente,722.47,723.4129,-13.0511,0.7,-13.7511,-0.1375,stop
SPY,2026-07-09T17:10:00+00:00,2026-07-09T18:10:00+00:00,vente,751.12,751.74,-8.2543,0.5,-8.7543,-0.0875,durée
QQQ,2026-07-09T17:20:00+00:00,2026-07-09T18:20:00+00:00,vente,723.96,723.222,10.1944,0.7,9.4944,0.0949,durée
QQQ,2026-07-09T19:05:00+00:00,2026-07-09T19:55:00+00:00,achat,722.38,723.18,11.0743,0.7,10.3743,0.1037,clôture
SPY,2026-07-09T19:05:00+00:00,2026-07-09T19:55:00+00:00,achat,750.8201,751.65,11.0532,0.5,10.5532,0.1055,clôture
SPY,2026-07-10T13:35:00+00:00,2026-07-10T14:00:00+00:00,vente,752.6,753.3499,-9.9647,0.5,-10.4647,-0.1046,stop
QQQ,2026-07-10T13:40:00+00:00,2026-07-10T13:40:00+00:00,achat,721.42,720.3401,-14.9693,0.7,-15.6693,-0.1567,stop
SPY,2026-07-10T14:10:00+00:00,2026-07-10T15:10:00+00:00,vente,753.09,751.94,15.2707,0.5,14.7707,0.1477,durée
QQQ,2026-07-10T14:35:00+00:00,2026-07-10T15:00:00+00:00,achat,721.07,719.7806,-17.8815,0.7,-18.5815,-0.1858,stop
QQQ,2026-07-10T15:30:00+00:00,2026-07-10T16:30:00+00:00,vente,724.09,725.1344,-14.4232,0.7,-15.1232,-0.1512,durée
SPY,2026-07-10T16:20:00+00:00,2026-07-10T17:20:00+00:00,vente,753.58,753.97,-5.1747,0.5,-5.6747,-0.0567,durée
QQQ,2026-07-10T17:50:00+00:00,2026-07-10T18:50:00+00:00,vente,726.14,725.45,9.5023,0.7,8.8023,0.088,durée
SPY,2026-07-10T17:50:00+00:00,2026-07-10T18:50:00+00:00,vente,754.3,754.57,-3.5797,0.5,-4.0797,-0.0408,durée
QQQ,2026-07-10T19:05:00+00:00,2026-07-10T19:55:00+00:00,vente,726.25,725.53,9.9135,0.7,9.2135,0.0921,clôture
SPY,2026-07-10T19:05:00+00:00,2026-07-10T19:55:00+00:00,vente,754.98,754.9,1.059,0.5,0.559,0.0056,clôture
QQQ,2026-07-13T13:35:00+00:00,2026-07-13T14:35:00+00:00,achat,716.26,717.1204,12.0126,0.7,11.3126,0.1131,durée
SPY,2026-07-13T13:35:00+00:00,2026-07-13T13:40:00+00:00,achat,753.43,752.6297,-10.622,0.5,-11.122,-0.1112,stop
SPY,2026-07-13T13:50:00+00:00,2026-07-13T14:15:00+00:00,achat,752.9,751.5536,-17.8833,0.5,-18.3833,-0.1838,stop
SPY,2026-07-13T14:45:00+00:00,2026-07-13T15:45:00+00:00,achat,751.51,751.715,2.7281,0.5,2.2281,0.0223,durée
SPY,2026-07-13T15:55:00+00:00,2026-07-13T16:25:00+00:00,achat,751.56,750.4978,-14.1327,0.5,-14.6327,-0.1463,stop
QQQ,2026-07-13T16:05:00+00:00,2026-07-13T16:30:00+00:00,achat,714.92,713.0355,-26.3595,0.7,-27.0595,-0.2706,stop
SPY,2026-07-13T16:35:00+00:00,2026-07-13T17:35:00+00:00,achat,749.63,749.7084,1.0454,0.5,0.5454,0.0055,durée
QQQ,2026-07-13T16:40:00+00:00,2026-07-13T17:40:00+00:00,achat,713.05,712.86,-2.6646,0.7,-3.3646,-0.0336,durée
QQQ,2026-07-13T18:00:00+00:00,2026-07-13T19:00:00+00:00,achat,712.11,713.03,12.92,0.7,12.22,0.1222,durée
SPY,2026-07-13T18:00:00+00:00,2026-07-13T19:00:00+00:00,achat,749.26,749.85,7.874,0.5,7.374,0.0737,durée
QQQ,2026-07-13T19:15:00+00:00,2026-07-13T19:20:00+00:00,achat,711.74,710.863,-12.3222,0.7,-13.0222,-0.1302,stop
QQQ,2026-07-13T19:30:00+00:00,2026-07-13T19:55:00+00:00,achat,710.66,711.72,14.9157,0.7,14.2157,0.1422,clôture
QQQ,2026-07-14T13:35:00+00:00,2026-07-14T13:45:00+00:00,vente,717.33,719.8959,-35.7705,0.7,-36.4705,-0.3647,stop
SPY,2026-07-14T13:40:00+00:00,2026-07-14T14:30:00+00:00,vente,751.18,752.3378,-15.4136,0.5,-15.9136,-0.1591,stop
QQQ,2026-07-14T13:55:00+00:00,2026-07-14T14:55:00+00:00,vente,718.89,719.3,-5.7029,0.7,-6.4029,-0.064,durée
SPY,2026-07-14T14:40:00+00:00,2026-07-14T15:40:00+00:00,vente,751.91,751.56,4.6545,0.5,4.1545,0.0415,durée
QQQ,2026-07-14T15:25:00+00:00,2026-07-14T16:25:00+00:00,vente,721.75,719.51,31.0355,0.7,30.3355,0.3034,durée
SPY,2026-07-14T17:25:00+00:00,2026-07-14T18:25:00+00:00,vente,752.44,752.5,-0.7974,0.5,-1.2974,-0.013,durée
QQQ,2026-07-14T18:50:00+00:00,2026-07-14T19:05:00+00:00,achat,720.41,719.5667,-11.7055,0.7,-12.4055,-0.1241,stop
QQQ,2026-07-14T19:30:00+00:00,2026-07-14T19:55:00+00:00,achat,719.98,719.68,-4.1666,0.7,-4.8666,-0.0487,clôture
QQQ,2026-07-15T13:35:00+00:00,2026-07-15T14:35:00+00:00,vente,723.79,715.315,117.0916,0.7,116.3916,1.1639,durée
SPY,2026-07-15T13:35:00+00:00,2026-07-15T14:35:00+00:00,vente,755.2,753.6699,20.2607,0.5,19.7607,0.1976,durée
QQQ,2026-07-15T14:45:00+00:00,2026-07-15T15:45:00+00:00,achat,715.24,715.11,-1.8176,0.7,-2.5176,-0.0252,durée
SPY,2026-07-15T16:05:00+00:00,2026-07-15T16:20:00+00:00,achat,752.09,750.524,-20.8221,0.5,-21.3221,-0.2132,stop
QQQ,2026-07-15T16:10:00+00:00,2026-07-15T17:10:00+00:00,achat,713.14,713.5,5.0479,0.7,4.3479,0.0435,durée
SPY,2026-07-15T16:30:00+00:00,2026-07-15T17:30:00+00:00,achat,750.81,753.09,30.3676,0.5,29.8676,0.2987,durée
QQQ,2026-07-15T17:40:00+00:00,2026-07-15T18:40:00+00:00,vente,715.8801,716.68,-11.1732,0.7,-11.8732,-0.1187,durée
SPY,2026-07-15T17:40:00+00:00,2026-07-15T18:40:00+00:00,vente,753.4,754.02,-8.2293,0.5,-8.7293,-0.0873,durée
QQQ,2026-07-16T13:35:00+00:00,2026-07-16T13:40:00+00:00,achat,711.44,708.5238,-40.9907,0.7,-41.6907,-0.4169,stop
SPY,2026-07-16T13:35:00+00:00,2026-07-16T13:45:00+00:00,achat,752.2,750.9654,-16.4135,0.5,-16.9135,-0.1691,stop
QQQ,2026-07-16T13:50:00+00:00,2026-07-16T14:50:00+00:00,achat,707.34,710.24,40.9982,0.7,40.2982,0.403,durée
SPY,2026-07-16T13:55:00+00:00,2026-07-16T14:55:00+00:00,achat,751.48,754.17,35.7961,0.5,35.2961,0.353,durée
QQQ,2026-07-16T16:05:00+00:00,2026-07-16T17:05:00+00:00,achat,708.96,708.54,-5.9248,0.7,-6.6248,-0.0662,durée
SPY,2026-07-16T16:05:00+00:00,2026-07-16T16:10:00+00:00,achat,752.745,751.9791,-10.1746,0.5,-10.6746,-0.1067,stop
SPY,2026-07-16T16:20:00+00:00,2026-07-16T17:20:00+00:00,achat,752.22,752.04,-2.3928,0.5,-2.8928,-0.0289,durée
QQQ,2026-07-16T17:45:00+00:00,2026-07-16T18:45:00+00:00,achat,706.6,706.57,-0.4241,0.7,-1.1241,-0.0112,durée
SPY,2026-07-16T17:45:00+00:00,2026-07-16T18:40:00+00:00,achat,751.43,750.2201,-16.1016,0.5,-16.6016,-0.166,stop
QQQ,2026-07-16T18:55:00+00:00,2026-07-16T19:25:00+00:00,achat,705.82,704.1405,-23.7957,0.7,-24.4957,-0.245,stop
SPY,2026-07-16T18:55:00+00:00,2026-07-16T19:30:00+00:00,achat,750.22,748.6345,-21.1339,0.5,-21.6339,-0.2163,stop
QQQ,2026-07-16T19:35:00+00:00,2026-07-16T19:55:00+00:00,achat,704.28,706.02,24.7059,0.7,24.0059,0.2401,clôture
QQQ,2026-07-17T13:35:00+00:00,2026-07-17T14:35:00+00:00,achat,690.31,698.52,118.9324,0.7,118.2324,1.1823,durée
SPY,2026-07-17T13:35:00+00:00,2026-07-17T14:35:00+00:00,achat,741.04,746.73,76.784,0.5,76.284,0.7628,durée
QQQ,2026-07-17T15:55:00+00:00,2026-07-17T16:50:00+00:00,vente,698.29,701.3018,-43.1314,0.7,-43.8314,-0.4383,stop
SPY,2026-07-17T16:00:00+00:00,2026-07-17T17:00:00+00:00,vente,746.88,746.69,2.5439,0.5,2.0439,0.0204,durée
QQQ,2026-07-17T17:10:00+00:00,2026-07-17T18:10:00+00:00,vente,701.95,697.7501,59.8318,0.7,59.1318,0.5913,durée
SPY,2026-07-17T17:55:00+00:00,2026-07-17T18:15:00+00:00,achat,744.8905,743.7841,-14.8537,0.5,-15.3537,-0.1535,stop
QQQ,2026-07-17T18:20:00+00:00,2026-07-17T19:20:00+00:00,achat,697.37,694.61,-39.5774,0.7,-40.2774,-0.4028,durée
SPY,2026-07-17T18:25:00+00:00,2026-07-17T19:25:00+00:00,achat,743.73,743.16,-7.6642,0.5,-8.1642,-0.0816,durée
QQQ,2026-07-20T13:35:00+00:00,2026-07-20T14:35:00+00:00,vente,704.44,700.945,49.6138,0.7,48.9138,0.4891,durée
SPY,2026-07-20T13:35:00+00:00,2026-07-20T14:35:00+00:00,vente,748.03,745.33,36.095,0.5,35.595,0.3559,durée
QQQ,2026-07-20T15:55:00+00:00,2026-07-20T16:55:00+00:00,vente,702.25,700.82,20.363,0.7,19.663,0.1966,durée
SPY,2026-07-20T15:55:00+00:00,2026-07-20T16:55:00+00:00,vente,746.23,745.0,16.4826,0.5,15.9826,0.1598,durée
SPY,2026-07-20T17:05:00+00:00,2026-07-20T18:05:00+00:00,achat,744.54,744.875,4.4997,0.5,3.9997,0.04,durée
QQQ,2026-07-20T17:15:00+00:00,2026-07-20T18:15:00+00:00,achat,699.37,701.0,23.3068,0.7,22.6068,0.2261,durée
QQQ,2026-07-20T18:35:00+00:00,2026-07-20T19:05:00+00:00,achat,698.91,697.1318,-25.4425,0.7,-26.1425,-0.2614,stop
SPY,2026-07-20T18:40:00+00:00,2026-07-20T19:05:00+00:00,achat,743.575,742.3921,-15.9082,0.5,-16.4082,-0.1641,stop
QQQ,2026-07-20T19:15:00+00:00,2026-07-20T19:55:00+00:00,achat,696.5748,695.99,-8.3959,0.7,-9.0959,-0.091,clôture
SPY,2026-07-20T19:15:00+00:00,2026-07-20T19:55:00+00:00,achat,741.71,742.14,5.7973,0.5,5.2973,0.053,clôture
QQQ,2026-07-21T13:35:00+00:00,2026-07-21T14:35:00+00:00,vente,704.72,706.12,-19.8664,0.7,-20.5664,-0.2057,durée
SPY,2026-07-21T13:35:00+00:00,2026-07-21T14:35:00+00:00,vente,745.61,746.3,-9.2542,0.5,-9.7542,-0.0975,durée
QQQ,2026-07-21T15:30:00+00:00,2026-07-21T16:30:00+00:00,vente,708.66,708.8623,-2.8551,0.7,-3.5551,-0.0356,durée
SPY,2026-07-21T15:30:00+00:00,2026-07-21T16:30:00+00:00,vente,747.98,748.685,-9.4256,0.5,-9.9256,-0.0993,durée
QQQ,2026-07-21T16:55:00+00:00,2026-07-21T17:55:00+00:00,vente,709.6701,709.53,1.9738,0.7,1.2738,0.0127,durée
SPY,2026-07-21T16:55:00+00:00,2026-07-21T17:55:00+00:00,vente,748.96,748.59,4.9401,0.5,4.4401,0.0444,durée
SPY,2026-07-21T18:15:00+00:00,2026-07-21T19:15:00+00:00,achat,748.17,748.31,1.8714,0.5,1.3714,0.0137,durée
QQQ,2026-07-21T18:35:00+00:00,2026-07-21T19:25:00+00:00,achat,708.96,708.4758,-6.8299,0.7,-7.5299,-0.0753,stop
SPY,2026-07-21T19:50:00+00:00,2026-07-21T19:55:00+00:00,vente,748.59,748.33,3.4733,0.5,2.9733,0.0297,clôture
QQQ,2026-07-22T13:35:00+00:00,2026-07-22T14:35:00+00:00,achat,705.1,706.73,23.1174,0.7,22.4174,0.2242,durée
SPY,2026-07-22T13:35:00+00:00,2026-07-22T14:35:00+00:00,achat,747.31,747.31,0.0,0.5,-0.5,-0.005,durée
SPY,2026-07-22T14:45:00+00:00,2026-07-22T15:45:00+00:00,achat,746.79,749.38,34.6821,0.5,34.1821,0.3418,durée
QQQ,2026-07-22T15:25:00+00:00,2026-07-22T16:25:00+00:00,vente,709.14,708.9025,3.349,0.7,2.649,0.0265,durée
SPY,2026-07-22T16:00:00+00:00,2026-07-22T17:00:00+00:00,vente,749.76,749.5,3.4679,0.5,2.9679,0.0297,durée
QQQ,2026-07-22T17:35:00+00:00,2026-07-22T17:50:00+00:00,achat,708.235,707.5215,-10.0739,0.7,-10.7739,-0.1077,stop
SPY,2026-07-22T17:35:00+00:00,2026-07-22T18:00:00+00:00,achat,748.88,748.2156,-8.8724,0.5,-9.3724,-0.0937,stop
QQQ,2026-07-22T18:00:00+00:00,2026-07-22T19:00:00+00:00,achat,707.27,707.41,1.9788,0.7,1.2788,0.0128,durée
SPY,2026-07-22T18:10:00+00:00,2026-07-22T19:10:00+00:00,achat,748.3,747.89,-5.4787,0.5,-5.9787,-0.0598,durée
SPY,2026-07-22T19:25:00+00:00,2026-07-22T19:55:00+00:00,achat,747.85,747.33,-6.9527,0.5,-7.4527,-0.0745,clôture
QQQ,2026-07-22T19:40:00+00:00,2026-07-22T19:55:00+00:00,achat,706.25,705.3099,-13.3105,0.7,-14.0105,-0.1401,stop
QQQ,2026-07-23T13:35:00+00:00,2026-07-23T14:35:00+00:00,achat,695.71,695.59,-1.7248,0.7,-2.4248,-0.0242,durée
SPY,2026-07-23T13:35:00+00:00,2026-07-23T14:35:00+00:00,achat,741.3,740.38,-12.4104,0.5,-12.9104,-0.1291,durée
QQQ,2026-07-23T15:30:00+00:00,2026-07-23T16:30:00+00:00,achat,688.63,693.98,77.6901,0.7,76.9901,0.7699,durée
SPY,2026-07-23T15:30:00+00:00,2026-07-23T16:30:00+00:00,achat,735.91,739.12,43.6198,0.5,43.1198,0.4312,durée
QQQ,2026-07-23T16:40:00+00:00,2026-07-23T17:40:00+00:00,vente,695.01,691.652,48.3163,0.7,47.6163,0.4762,durée
SPY,2026-07-23T16:40:00+00:00,2026-07-23T17:40:00+00:00,vente,739.7,737.71,26.9027,0.5,26.4027,0.264,durée
QQQ,2026-07-23T18:00:00+00:00,2026-07-23T19:00:00+00:00,achat,691.01,689.71,-18.8129,0.7,-19.5129,-0.1951,durée
SPY,2026-07-23T18:00:00+00:00,2026-07-23T19:00:00+00:00,achat,737.16,736.8,-4.8834,0.5,-5.3834,-0.0538,durée
QQQ,2026-07-23T19:10:00+00:00,2026-07-23T19:55:00+00:00,achat,689.55,691.92,34.3702,0.7,33.6702,0.3367,clôture
SPY,2026-07-23T19:45:00+00:00,2026-07-23T19:55:00+00:00,achat,736.26,738.17,25.9416,0.5,25.4416,0.2544,clôture
QQQ,2026-07-24T13:35:00+00:00,2026-07-24T14:35:00+00:00,vente,692.0,684.21,112.5719,0.7,111.8719,1.1187,durée
SPY,2026-07-24T13:35:00+00:00,2026-07-24T14:35:00+00:00,vente,739.29,738.06,16.6373,0.5,16.1373,0.1614,durée
QQQ,2026-07-24T14:45:00+00:00,2026-07-24T15:45:00+00:00,achat,684.3999,689.57,75.5422,0.7,74.8422,0.7484,durée
SPY,2026-07-24T15:00:00+00:00,2026-07-24T15:15:00+00:00,vente,740.59,742.8958,-31.1348,0.5,-31.6348,-0.3163,stop
SPY,2026-07-24T15:25:00+00:00,2026-07-24T16:25:00+00:00,vente,742.395,743.19,-10.7084,0.5,-11.2084,-0.1121,durée
QQQ,2026-07-24T16:00:00+00:00,2026-07-24T17:00:00+00:00,vente,691.3,688.91,34.5728,0.7,33.8728,0.3387,durée
QQQ,2026-07-24T17:10:00+00:00,2026-07-24T18:10:00+00:00,achat,687.9,687.7,-2.9076,0.7,-3.6076,-0.0361,durée
SPY,2026-07-24T17:10:00+00:00,2026-07-24T18:10:00+00:00,achat,740.4,740.59,2.5662,0.5,2.0662,0.0207,durée
QQQ,2026-07-24T18:20:00+00:00,2026-07-24T18:30:00+00:00,achat,687.0,684.9615,-29.672,0.7,-30.372,-0.3037,stop
SPY,2026-07-24T18:20:00+00:00,2026-07-24T18:30:00+00:00,achat,740.19,738.672,-20.5081,0.5,-21.0081,-0.2101,stop
QQQ,2026-07-24T18:40:00+00:00,2026-07-24T19:40:00+00:00,achat,684.49,684.0,-7.1585,0.7,-7.8585,-0.0786,durée
SPY,2026-07-24T18:40:00+00:00,2026-07-24T19:40:00+00:00,achat,738.27,738.28,0.1356,0.5,-0.3644,-0.0036,durée
QQQ,2026-07-27T13:35:00+00:00,2026-07-27T14:35:00+00:00,vente,690.44,678.13,178.2921,0.7,177.5921,1.7759,durée
SPY,2026-07-27T13:35:00+00:00,2026-07-27T14:35:00+00:00,vente,744.66,738.08,88.3619,0.5,87.8619,0.8786,durée
QQQ,2026-07-27T14:45:00+00:00,2026-07-27T15:45:00+00:00,achat,676.39,677.67,18.9235,0.7,18.2235,0.1822,durée
QQQ,2026-07-27T17:05:00+00:00,2026-07-27T18:05:00+00:00,achat,677.55,679.76,32.6178,0.7,31.9178,0.3192,durée
SPY,2026-07-27T17:05:00+00:00,2026-07-27T18:05:00+00:00,achat,736.18,737.68,20.3755,0.5,19.8755,0.1988,durée
QQQ,2026-07-27T18:55:00+00:00,2026-07-27T19:10:00+00:00,vente,681.08,682.9099,-26.8669,0.7,-27.5669,-0.2757,stop
SPY,2026-07-27T18:55:00+00:00,2026-07-27T19:20:00+00:00,vente,738.56,739.7601,-16.2498,0.5,-16.7498,-0.1675,stop
QQQ,2026-07-27T19:20:00+00:00,2026-07-27T19:55:00+00:00,vente,682.72,682.06,9.6668,0.7,8.9668,0.0897,clôture
SPY,2026-07-27T19:30:00+00:00,2026-07-27T19:55:00+00:00,vente,739.65,739.02,8.5176,0.5,8.0176,0.0802,clôture
QQQ,2026-07-28T13:35:00+00:00,2026-07-28T13:45:00+00:00,achat,674.48,670.4078,-60.3744,0.7,-61.0744,-0.6107,stop
QQQ,2026-07-28T13:55:00+00:00,2026-07-28T14:55:00+00:00,achat,670.14,672.71,38.3503,0.7,37.6503,0.3765,durée
SPY,2026-07-28T14:00:00+00:00,2026-07-28T15:00:00+00:00,achat,736.49,738.15,22.5398,0.5,22.0398,0.2204,durée
SPY,2026-07-28T15:15:00+00:00,2026-07-28T15:20:00+00:00,vente,739.38,741.2164,-24.8372,0.5,-25.3372,-0.2534,stop
QQQ,2026-07-28T15:25:00+00:00,2026-07-28T16:25:00+00:00,vente,676.79,677.3047,-7.6052,0.7,-8.3052,-0.0831,durée
SPY,2026-07-28T15:30:00+00:00,2026-07-28T16:30:00+00:00,vente,741.17,741.11,0.8095,0.5,0.3095,0.0031,durée
QQQ,2026-07-28T17:45:00+00:00,2026-07-28T18:45:00+00:00,achat,676.34,676.38,0.5911,0.7,-0.1089,-0.0011,durée
SPY,2026-07-28T17:45:00+00:00,2026-07-28T18:45:00+00:00,achat,740.795,741.25,6.1423,0.5,5.6423,0.0564,durée
QQQ,2026-07-28T19:05:00+00:00,2026-07-28T19:55:00+00:00,vente,677.85,675.5,34.6681,0.7,33.9681,0.3397,clôture
SPY,2026-07-28T19:05:00+00:00,2026-07-28T19:55:00+00:00,vente,741.88,740.76,15.0967,0.5,14.5967,0.146,clôture
SPY,2026-07-29T13:35:00+00:00,2026-07-29T13:45:00+00:00,achat,740.02,739.0728,-12.7997,0.5,-13.2997,-0.133,stop
QQQ,2026-07-29T13:40:00+00:00,2026-07-29T13:45:00+00:00,achat,674.98,673.3325,-24.4078,0.7,-25.1078,-0.2511,stop
QQQ,2026-07-29T13:55:00+00:00,2026-07-29T14:10:00+00:00,achat,671.59,668.9107,-39.8954,0.7,-40.5954,-0.406,stop
SPY,2026-07-29T13:55:00+00:00,2026-07-29T14:10:00+00:00,achat,737.78,735.8951,-25.5489,0.5,-26.0489,-0.2605,stop
QQQ,2026-07-29T14:20:00+00:00,2026-07-29T15:20:00+00:00,achat,669.485,668.045,-21.5091,0.7,-22.2091,-0.2221,durée
SPY,2026-07-29T14:20:00+00:00,2026-07-29T15:20:00+00:00,achat,735.89,735.02,-11.8224,0.5,-12.3224,-0.1232,durée
QQQ,2026-07-29T15:55:00+00:00,2026-07-29T16:55:00+00:00,achat,665.41,667.94,38.0221,0.7,37.3221,0.3732,durée
SPY,2026-07-29T15:55:00+00:00,2026-07-29T16:55:00+00:00,achat,733.51,734.87,18.5408,0.5,18.0408,0.1804,durée
QQQ,2026-07-29T17:05:00+00:00,2026-07-29T18:00:00+00:00,vente,669.2975,672.048,-41.0958,0.7,-41.7958,-0.418,stop
SPY,2026-07-29T17:05:00+00:00,2026-07-29T18:00:00+00:00,vente,735.895,737.779,-25.6008,0.5,-26.1008,-0.261,stop
QQQ,2026-07-29T18:10:00+00:00,2026-07-29T18:50:00+00:00,vente,674.0766,679.2196,-76.2975,0.7,-76.9975,-0.77,stop
SPY,2026-07-29T18:10:00+00:00,2026-07-29T18:45:00+00:00,vente,738.06,741.3198,-44.1674,0.5,-44.6674,-0.4467,stop
SPY,2026-07-30T15:30:00+00:00,2026-07-30T16:30:00+00:00,achat,734.84,738.74,53.0723,0.5,52.5723,0.5257,durée
SPY,2026-07-30T17:05:00+00:00,2026-07-30T18:05:00+00:00,vente,739.96,740.085,-1.6893,0.5,-2.1893,-0.0219,durée
QQQ,2026-07-30T17:20:00+00:00,2026-07-30T18:20:00+00:00,vente,682.81,682.38,6.2974,0.7,5.5974,0.056,durée
SPY,2026-07-30T18:50:00+00:00,2026-07-30T19:00:00+00:00,vente,740.5,741.293,-10.7085,0.5,-11.2085,-0.1121,stop
QQQ,2026-07-30T19:05:00+00:00,2026-07-30T19:05:00+00:00,vente,682.74,683.4206,-9.9689,0.7,-10.6689,-0.1067,stop
SPY,2026-07-30T19:10:00+00:00,2026-07-30T19:55:00+00:00,vente,741.78,741.73,0.6747,0.5,0.1747,0.0017,clôture
QQQ,2026-07-30T19:15:00+00:00,2026-07-30T19:55:00+00:00,vente,684.56,683.6,14.0239,0.7,13.3239,0.1332,clôture
QQQ,2026-07-31T13:35:00+00:00,2026-07-31T14:35:00+00:00,vente,694.69,684.66,144.3814,0.7,143.6814,1.4368,durée
SPY,2026-07-31T13:35:00+00:00,2026-07-31T14:35:00+00:00,vente,745.98,741.225,63.7417,0.5,63.2417,0.6324,durée
SPY,2026-07-31T16:15:00+00:00,2026-07-31T17:15:00+00:00,vente,743.52,745.45,-25.9575,0.5,-26.4575,-0.2646,durée
QQQ,2026-07-31T16:30:00+00:00,2026-07-31T17:25:00+00:00,vente,686.95,689.4557,-36.475,0.7,-37.175,-0.3718,stop
SPY,2026-07-31T17:25:00+00:00,2026-07-31T18:25:00+00:00,vente,746.04,746.01,0.4017,0.5,-0.0983,-0.001,durée
QQQ,2026-07-31T17:35:00+00:00,2026-07-31T18:35:00+00:00,vente,689.83,688.54,18.7008,0.7,18.0008,0.18,durée
QQQ,2026-07-31T19:20:00+00:00,2026-07-31T19:50:00+00:00,vente,689.945,690.8499,-13.116,0.7,-13.816,-0.1382,stop
SPY,2026-07-31T19:20:00+00:00,2026-07-31T19:45:00+00:00,vente,747.52,748.3642,-11.2931,0.5,-11.7931,-0.1179,stop
SPY,2026-07-31T19:55:00+00:00,2026-07-31T19:55:00+00:00,vente,748.58,746.81,23.645,0.5,23.145,0.2315,clôture
QQQ,2026-08-03T13:35:00+00:00,2026-08-03T14:35:00+00:00,achat,687.41,695.57,118.707,0.7,118.007,1.1801,durée
SPY,2026-08-03T13:35:00+00:00,2026-08-03T13:55:00+00:00,vente,750.76,753.1208,-31.4453,0.5,-31.9453,-0.3195,stop
SPY,2026-08-03T14:05:00+00:00,2026-08-03T15:05:00+00:00,vente,753.41,754.95,-20.4409,0.5,-20.9409,-0.2094,durée
QQQ,2026-08-03T14:45:00+00:00,2026-08-03T15:45:00+00:00,vente,695.36,697.19,-26.3175,0.7,-27.0175,-0.2702,durée
SPY,2026-08-03T15:50:00+00:00,2026-08-03T16:50:00+00:00,vente,756.03,756.05,-0.264,0.5,-0.764,-0.0076,durée
QQQ,2026-08-03T16:20:00+00:00,2026-08-03T17:20:00+00:00,vente,698.67,699.48,-11.5934,0.7,-12.2934,-0.1229,durée
SPY,2026-08-03T17:20:00+00:00,2026-08-03T17:50:00+00:00,vente,756.77,757.5551,-10.3737,0.5,-10.8737,-0.1087,stop
QQQ,2026-08-03T17:30:00+00:00,2026-08-03T18:05:00+00:00,vente,699.67,701.2128,-22.0509,0.7,-22.7509,-0.2275,stop
SPY,2026-08-03T18:00:00+00:00,2026-08-03T19:00:00+00:00,vente,757.645,758.5,-11.2847,0.5,-11.7847,-0.1178,durée
QQQ,2026-08-03T18:15:00+00:00,2026-08-03T19:15:00+00:00,vente,701.015,700.61,5.7778,0.7,5.0778,0.0508,durée
QQQ,2026-08-04T13:35:00+00:00,2026-08-04T14:35:00+00:00,vente,711.77,716.3722,-64.6585,0.7,-65.3585,-0.6536,stop
SPY,2026-08-04T13:35:00+00:00,2026-08-04T13:50:00+00:00,vente,761.83,763.4353,-21.0718,0.5,-21.5718,-0.2157,stop
SPY,2026-08-04T14:00:00+00:00,2026-08-04T15:00:00+00:00,vente,763.37,766.85,-45.5871,0.5,-46.0871,-0.4609,durée
QQQ,2026-08-04T15:30:00+00:00,2026-08-04T16:30:00+00:00,vente,717.98,720.01,-28.2742,0.7,-28.9742,-0.2897,durée
SPY,2026-08-04T15:45:00+00:00,2026-08-04T16:45:00+00:00,vente,768.28,770.195,-24.9255,0.5,-25.4255,-0.2543,durée
QQQ,2026-08-04T16:50:00+00:00,2026-08-04T17:40:00+00:00,vente,720.57,723.1603,-35.9483,0.7,-36.6483,-0.3665,stop
